ISV,Title2,link3,description5,Published,Classification
CFISVCode-492,<b>6sense</b> Recognized as Leader in B2B Revenue Marketing Platforms Report | MarTech Cube,https://www.martechcube.com/6sense-recognized-as-leader-in-b2b-revenue-marketing-platforms-report/,"<b>6sense</b>, the leading platform to revolutionize the way B2B organizations create, manage and convert pipeline to revenue.",7/24/2024,
CFISVCode-492,Oracle's new Activity Centers aim to streamline HR processes - Techcircle,https://www.techcircle.in/2024/07/24/oracle-s-new-activity-centers-aim-to-streamline-hr-processes,"Based on data from market research firm <b>6sense.com</b>, Oracle HCM holds nearly 9.0% market share in the highly fragmented HCM market, facing&nbsp;...",7/24/2024,
CFISVCode-492,<b>6sense</b> Named a Leader in B2B Revenue Marketing Platforms Report | Business Wire,https://www.businesswire.com/news/home/20240719014637/en/6sense-Named-a-Leader-in-B2B-Revenue-Marketing-Platforms-Report,"<b>6sense</b>, the leading platform to revolutionize the way B2B organizations create, manage and convert pipeline to revenue, today announced that it&nbsp;...",7/22/2024,
CFISVCode-492,6sense CEO Honored by Goldman Sachs - Business Wire,https://news.google.com/rss/articles/CBMilwFBVV95cUxQWURRbjI4WmpUcmJEbWdHNkdCQUhSYTlSZnU4SU91b0xVUW5KRnFKQ253a2tnd21OX2tzNGU2TmhTQ01kWDlCeWp3eTVRQW5TYzdhVmJSUjFEeWQ2MU5nQWVINlNURWZqaExUdk82MmF1dEdkQUktNGhGMUxLTXhiWk9vZHZlUDBxYlROQkQ2MmZGeGNIWm5n?oc=5,6sense CEO recognized by Goldman Sachs for leadership and achievement.,10/22/2024,Awards
CFISVCode-492,6sense Named a Fastest-Growing Company in North America on the 2024 Deloitte Technology Fast 500™ for the Third Consecutive Year - Business Wire,https://news.google.com/rss/articles/CBMingJBVV95cUxNeE1EMnVhZGx1bGtpTjVrUEJTdTRrRzZ3SVRzVGF2WUZ3YklydDlXS1NvajRmeDFzY01kcURTM0V0STduOHY1TFRVSXRrc3RaSFRPUDBocWlfY3BmUy1FbF80TjBpcmJ1cE1DWUhJT1FpOHRHcmFNYVNxQ3VwTTJ4OFExYTktQ3gwNExIZndyZkdpTWpmNFZ6YmE3RFdmaGktbkI3RnFhYkZNWl9xcTBnSmRhT1BzbkppX3ZPMUE1ZWYwRWoxU20tdWN5Sm1vNEV4NG9MMVYxQ1Bhc3FnR0lIaUtXS1RuVmhuMTFrX3lZTGJmbmxnUW1sRHVTeEtNQTl6NmJyWXk3UDVtbU51eFBkWGJ5YmhJUEp0LTFtUW1B?oc=5,6sense was recognized as one of the fastest-growing companies in North America by Deloitte Technology Fast 500 for the third year.,11/21/2024,Awards
CFISVCode-492,6sense CEO Honored by Goldman Sachs - StockTitan,https://news.google.com/rss/articles/CBMiigFBVV95cUxNUk9nemt4YU1nMXFNU3JTUkUxSk96Yk14bVUxR21pMWJWWWpFZEhoVEpIeWQycWo0UHJrcDc5TlF5Zzg1bF9FU0d4SzNRaFRfUkM4ckNZcUZQYUN3WXVMNlBDNEJjcWVCbTFCRGUxOTNxejdlMHFkUlFyQ1Vfd01vMzlXbjJGcURSYWc?oc=5,The CEO of 6sense was recognized by Goldman Sachs for their achievements.,10/22/2024,Awards
CFISVCode-492,6sense Named a Leader in B2B Intent Data Providers Evaluation by Independent Research Firm,https://www.businesswire.com/news/home/20250226185842/en/6sense-Named-a-Leader-in-B2B-Intent-Data-Providers-Evaluation-by-Independent-Research-Firm,"6sense has been named a Leader in B2B Intent Data Providers by Forrester, highlighting its innovative approach and large data network that processes over 1 trillion buying signals daily, enhancing predictive analytics and workflow automation for revenue teams.",2/27/2025,Awards
CFISVCode-492,6sense Appoints Jeff Romano as Chief Customer Officer | Business Wire,https://www.businesswire.com/news/home/20250303721071/en/6sense-Appoints-Jeff-Romano-as-Chief-Customer-Officer,"6sense appoints Jeff Romano as Chief Customer Officer to lead customer experience initiatives, reporting to Chief Revenue Officer Latané Conant. Romano brings over 25 years of experience in global customer success, aiming to enhance 6sense's customer-first culture and drive business impact.",3/3/2025,Executive
CFISVCode-492,6sense Named a Financial Times Americasâ€™ Fastest Growing Company,https://www.businesswire.com/news/home/20241010171709/en/6sense-Advances-Use-of-AI-to-Unlock-B2B-Revenue-Potential-at-Breakthrough-2024/,"6sense hosted Breakthrough 2024 in Las Vegas, gathering over 1,200 sales and marketing leaders to highlight advancements in AI for B2B revenue growth. The event featured customer success stories and showcased how organizations use 6sense AI agents to transform go-to-market strategies, including outbound and inbound automation for sales engagement.",3/4/2025,Product
CFISVCode-492,6sense Named a Financial Times Americasâ€™ Fastest Growing Company â€“ 6sense,https://6sense.com/newsroom/6sense-named-a-financial-times-americas-fastest-growing-company/,6sense Named a Financial Times Americasâ€™ Fastest Growing Company â€“ 6sense,8/21/2025,Awards
